# T_Ca (kPa),pressure (mmHg)
2.784261116426674926e-02,2.000000000000000000e+01
4.982924572426792764e+00,3.475400874635568726e+01
9.039886556429816977e+00,4.711370262390671115e+01
1.246952386983284811e+01,5.743986880466471234e+01
1.545579362773515797e+01,6.609329446064140257e+01
1.815509825954823597e+01,7.343476676384838697e+01
2.073656772339222343e+01,7.982507288629736308e+01
2.334406820958530204e+01,8.562500000000000000e+01
2.609802654452699500e+01,9.106413994169095361e+01
2.897320722141686744e+01,9.584730320699708273e+01
3.195976003408421207e+01,9.954810495626821876e+01
3.519771220916178578e+01,1.017401603498542357e+02
3.931428167722008027e+01,1.019970845481049508e+02
4.587724208419760430e+01,9.989249271137025232e+01
5.997704959672686442e+01,9.500000000000000000e+01
5.997789399900388929e+01,9.500000000000000000e+01
5.559115369023648157e+01,8.014212827988339427e+01
5.178405479618369611e+01,6.751457725947521737e+01
4.845048151724800789e+01,5.682215743440232103e+01
4.545174417551539392e+01,4.776967930029154985e+01
4.265307101682452640e+01,4.006195335276968450e+01
3.992399163771799664e+01,3.340379008746355538e+01
3.714254383026536033e+01,2.750000000000000000e+01
3.399199471218788915e+01,2.216472303206997196e+01
2.946727926511126583e+01,1.764941690962099585e+01
2.312720969979769237e+01,1.431486880466472833e+01
1.579338657583784666e+01,1.252186588921282784e+01
9.205706526529247924e+00,1.263119533527696525e+01
4.360775964916087766e+00,1.500364431486879901e+01
2.784217410037086865e-02,2.000000000000000000e+01
